keeper,height_cm
Jesús Owono,186.0
Jirí Pavlenka,196.0
Joan García,194.0
Joaquín Blázquez,193.0
Joe Hart,196.0
Joe Lumley,190.0
Joel Coleman,198.0
Joel Pereira,189.0
Joel Robles,194.0
John Ruddy,192.0
John Victor,197.0
Jon Serantes,184.0
Jonas Lössl,195.0
Jonas Omlin,190.0
Jonas Urbig,189.0
Jonathan Fischer,198.0
Jordan Pickford,185.0
Jordi Masip,180.0
Josep Martínez,191.0
Joseph Whitworth,179.0
Josip Posavec,190.0
José Sá,192.0
Juan Carlos,187.0
Juan Musso,191.0
Juan Pablo Carrizo,189.0
Juan Pérez,191.0
Juan Soriano,185.0
Julen Agirrezabala,187.0
Julian Pollersbeck,195.0
Julian Speroni,186.0
Justin Bijlow,188.0
Jérémy Vachoux,
Jérôme Prior,187.0
Kamil Grabara,195.0
Karl Darlow,190.0
Karl Hein,193.0
Karl-Johan Johnsson,188.0
Karlo Letica,201.0
Kasper Schmeichel,189.0
Kauã Santos,196.0
Kepa Arrizabalaga,188.0
Kevin Müller,190.0
Kevin Trapp,189.0
Keylor Navas,185.0
Kiko Casilla,190.0
Kjetil Haug,191.0
Koen Casteels,197.0
Koke Vegas,188.0
Kristoffer Nordfeldt,190.0
Landry Bonnefoi,184.0
Lasse Rieß,192.0
Laurent Pionnier,183.0
Leandro Chichizola,185.0
Lee Grant,193.0
Lennart Grill,192.0
Leo Román,189.0
Leopold Zingerle,182.0
Lionel Mpasi,182.0
Lorenzo Andrenacci,188.0
Lorenzo Montipò,191.0
Loris Karius,191.0
Lovre Kalinic,201.0
Luca Crosta,190.0
Luca Gemello,190.0
Luca Philipp,192.0
Luca Zidane,183.0
Lucas Bergstrom,205.0
Lucas Chevalier,189.0
Lucas Dias,187.0
Lucas Perri,197.0
Ludovic Butelle,188.0
Luigi Sepe,185.0
Luiz Júnior,192.0
Lukas Hradecky,192.0
Lukasz Fabianski,190.0
Lukasz Skorupski,188.0
Luís Maximiano,190.0
Léo Jardim,188.0
Maarten Stekelenburg,197.0
Maarten Vandevoordt,192.0
Mads Hermansen,187.0
Maduka Okoye,198.0
Maksym Koval,188.0
Mamadou Samassa,198.0
Manolo Reina,186.0
Manuel Neuer,193.0
Manuel Riemann,186.0
Marc Martínez Aranda,186.0
Marc-André ter Stegen,187.0
Marc-Aurele Caillard,192.0
Marcel Schuhen,188.0
Marcin Bulka,199.0
Marco Bizot,193.0
Marco Carnesecchi,191.0
Marco Festa,190.0
Marco Silvestri,191.0
Marco Sportiello,192.0
Marco Storari,187.0
Marcus Bettinelli,193.0
Marek Rodák,194.0
Mariano Barbosa,188.0
Mario Fernández,185.0
Marius Müller,192.0
Mark Flekken,195.0
Mark Travers,191.0
Marko Dmitrovic,189.0
Markus Schubert,184.0
Martin Dúbravka,191.0
Martin Hansen,190.0
Martin Turk,190.0
Marvin Schwäbe,190.0
Marwin Hitz,194.0
Massamba Ndiaye,202.0
Massimo Pessina,188.0
Matej Kovár,196.0
Mateusz Lis,192.0
Matheo Raab,186.0
Mathew Ryan,184.0
Mathieu Dreyer,188.0
Mathieu Gorgelin,187.0
Mathieu Michel,189.0
Mathys Silistre,188.0
Matis Carvalho,186.0
Matt Turner,191.0
Mattia Perin,188.0
Matvei Safonov,192.0
Matz Sels,188.0
Matías Dituro,191.0
Mauro Goicoechea,186.0
Mauro Vigorito,187.0
Max Weiß,190.0
Maxime Dupé,188.0
Melker Ellborg,191.0
Melvin Zinga,187.0
Michael Esser,198.0
Michael Langer,195.0
Michael McGovern,190.0
Michael Rensing,190.0
Michael Zetterer,187.0
Michel Vorm,183.0
Michele Cerofolini,188.0
Michele Di Gregorio,187.0
Miguel Parera,182.0
Miguel Ángel Moyà,189.0
Mike Maignan,191.0
Mike Penders,200.0
Mile Svilar,189.0
Mio Backhaus,194.0
Morgan De Sanctis,190.0
Moritz Nicolas,193.0
Mory Diaw,197.0
Mouhamadou Sarr,190.0
Nauzet,190.0
Nediljko Labrovic,196.0
Neil Etheridge,188.0
Nereo Champagne,188.0
Neto,190.0
Nick Pope,198.0
Nicola Leali,193.0
Nicola Ravaglia,184.0
Nicolas Lemaitre,189.0
Niklas Lomb,186.0
Nikola Vasilj,193.0
Noah Atubolu,190.0
Nícolas Andrade,190.0
Obed Nkambadio,190.0
Odisseas Vlachodimos,191.0
Oier Olazábal,189.0
Oliver Baumann,187.0
Oliver Christensen,190.0
Orestis Karnezis,190.0
Oumar Pona,195.0
Ouparine Djoco,188.0
Pablo Cuñat,188.0
Pape Sy,206.0
Patrick Carlgren,189.0
Patrick Drewes,194.0
Patrick Pentz,183.0
Pau López,189.0
Paul Argney,186.0
Paul Bernardoni,193.0
Paul Delecroix,184.0
Paul Nardi,188.0
Paul Reulet,181.0
Paul Robinson,193.0
Paulo Gazzaniga,195.0
Pavao Pervan,194.0
Pedro López,189.0
Pepe Reina,188.0
Petr Cech,196.0
Philipp Köhn,190.0
Philipp Pentke,191.0
Philipp Tschauner,196.0
Pierluigi Frattali,185.0
Pierluigi Gollini,194.0
Pietro Terracciano,193.0
Predrag Rajkovic,191.0
Przemyslaw Tyton,195.0
Péter Gulácsi,193.0
Radoslaw Majecki,193.0
Rafael,187.0
Rafal Gikiewicz,190.0
Ralf Fährmann,197.0
Ramazan Özcan,185.0
Razvan Sava,197.0
Raïs M'Bolhi,190.0
Raúl Fernández,195.0
Raúl Lizoain,188.0
Renato Marin,190.0
René Adler,
Riffi Mandanda,185.0
Robert Elliot,191.0
Robert Sánchez,197.0
Roberto,192.0
Roberto Santamaría,183.0
Robin Olsen,196.0
Robin Risser,193.0
Robin Roefs,193.0
Robin Zentner,194.0
Romain Salin,186.0
Roman Bürki,187.0
Roman Weidenfeller,190.0
Ron-Robert Zieler,188.0
Rubinho,186.0
Rubén,187.0
Rubén Blanco,188.0
Rui Patrício,190.0
Rui Silva,191.0
Rune Jarstein,192.0
Ryan Allsop,189.0
Régis Gurtner,182.0
Rémy Descamps,196.0
Rémy Riou,191.0
Rémy Vercoutre,185.0
Rúnar Rúnarsson,186.0
Salvador Ichazo,187.0
Salvatore Sirigu,192.0
Sam Johnstone,193.0
Samir Handanovic,193.0
Samir Ujkani,186.0
Samuel Radlinger,198.0
Samuele Perisan,192.0
Sander Tangvik,193.0
Saturnin Allagbé,187.0
Sebastien Cibois,192.0
Semuel Pizzignacco,188.0
Senne Lammens,193.0
Sergey Chernik,187.0
Sergio Asenjo,189.0
Sergio Herrera,192.0
Sergio Rico,196.0
Sergio Romero,192.0
Sergio Álvarez,179.0
Seydou Sy,192.0
Shay Given,185.0
Silvio Proto,184.0
Simon Mignolet,193.0
Simon Moore,191.0
Simone Colombi,188.0
Simone Perilli,196.0
Simone Scuffet,193.0
Stefan Bajic,188.0
Stefan Ortega,185.0
Stefano Sorrentino,186.0
Stefano Turati,188.0
Stefanos Kapino,196.0
Steve Mandanda,187.0
Stole Dimitrievski,188.0
Stéphane Ruffier,188.0
Sven Müller,190.0
Sven Ulreich,192.0
Thibaut Courtois,200.0
Thomas Didillon,193.0
Thomas Dähne,193.0
Thomas Kaminski,190.0
Thomas Kessler,197.0
Thomas Kraft,187.0
Thomas Strakosha,193.0
Thomas Vincensini,185.0
Théo De Percin,185.0
Tiago Pereira,190.0
Tim Krul,193.0
Timo Horn,192.0
Timon Weiner,191.0
Tjark Ernst,193.0
Tobias Sippel,183.0
Tom Heaton,188.0
Tom Mickel,185.0
Tom Starke,194.0
Tomas Koubek,197.0
Tomasso Martinelli,194.0
Tomás Vaclík,189.0
Toño Ramírez,191.0
Unai Marrero,189.0
Unai Simón,190.0
Vanja Milinkovic-Savic,202.0
Vicente Guaita,190.0
Vid Belec,192.0
Vincent Demarconnay,
Vincent Enyeama,182.0
Vincenzo Fiorillo,190.0
Vito Mannone,188.0
Vladyslav Krapyvtsov,188.0
Víctor Valdés,183.0
Walter Benítez,191.0
Wayne Hennessey,198.0
Wes Foderingham,185.0
Wilfredo Caballero,
Wladimiro Falcone,195.0
Wojciech Szczesny,195.0
Wuilker Faríñez,180.0
Yahia Fofana,194.0
Yann Sommer,183.0
Yannis Clementia,188.0
Yassine Bounou,195.0
Yehvann Diouf,188.0
Yoan Cardinale,181.0
Yoel,184.0
Yohann Pelé,196.0
Yohann Thuram-Ulien,188.0
Yvon Mvogo,190.0
Zacharie Boucher,181.0
Zack Steffen,191.0
Zion Suzuki,190.0
Álex Padilla,190.0
Álex Remiro,192.0
Álvaro Fernández,185.0
Álvaro Valles,191.0
Ángel Fortuño,183.0
Édouard Mendy,194.0
Ørjan Nyland,192.0
