league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,saves,shots_faced,goal_assists,shots_on_target,total_goals,total_shots,offsides
GER-Bundesliga,2425,2024-08-23 Borussia Mönchengladbach-Bayer Leverkusen,Bayer Leverkusen,Lukas Hradecky,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-23 Borussia Mönchengladbach-Bayer Leverkusen,Borussia Mönchengladbach,Jonas Omlin,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,21.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 Borussia Dortmund-Eintracht Frankfurt,Borussia Dortmund,Gregor Kobel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 Borussia Dortmund-Eintracht Frankfurt,Eintracht Frankfurt,Kevin Trapp,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 FC Augsburg-Werder Bremen,FC Augsburg,Nediljko Labrovic,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 FC Augsburg-Werder Bremen,Werder Bremen,Michael Zetterer,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 Mainz-1. FC Union Berlin,1. FC Union Berlin,Frederik Ronnow,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 Mainz-1. FC Union Berlin,Mainz,Robin Zentner,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 RB Leipzig-VfL Bochum,RB Leipzig,Péter Gulácsi,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 RB Leipzig-VfL Bochum,VfL Bochum,Patrick Drewes,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 SC Freiburg-VfB Stuttgart,SC Freiburg,Florian Müller,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 SC Freiburg-VfB Stuttgart,VfB Stuttgart,Alexander Nübel,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 TSG Hoffenheim-Holstein Kiel,Holstein Kiel,Timon Weiner,False,Goalkeeper,1,start,end,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,18.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-24 TSG Hoffenheim-Holstein Kiel,TSG Hoffenheim,Oliver Baumann,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,15.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-25 St. Pauli-1. FC Heidenheim 1846,1. FC Heidenheim 1846,Kevin Müller,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-25 St. Pauli-1. FC Heidenheim 1846,St. Pauli,Nikola Vasilj,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-25 VfL Wolfsburg-Bayern Munich,Bayern Munich,Manuel Neuer,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-25 VfL Wolfsburg-Bayern Munich,VfL Wolfsburg,Kamil Grabara,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,13.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-30 1. FC Union Berlin-St. Pauli,1. FC Union Berlin,Frederik Ronnow,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-30 1. FC Union Berlin-St. Pauli,St. Pauli,Nikola Vasilj,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 Bayer Leverkusen-RB Leipzig,Bayer Leverkusen,Matej Kovár,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 Bayer Leverkusen-RB Leipzig,RB Leipzig,Péter Gulácsi,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 Eintracht Frankfurt-TSG Hoffenheim,Eintracht Frankfurt,Kevin Trapp,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 Eintracht Frankfurt-TSG Hoffenheim,TSG Hoffenheim,Oliver Baumann,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,15.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 Holstein Kiel-VfL Wolfsburg,Holstein Kiel,Timon Weiner,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 Holstein Kiel-VfL Wolfsburg,VfL Wolfsburg,Kamil Grabara,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 VfB Stuttgart-Mainz,Mainz,Robin Zentner,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,25.0,0.0,0.0,0.0,0.0,
GER-Bundesliga,2425,2024-08-31 VfB Stuttgart-Mainz,VfB Stuttgart,Alexander Nübel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,
