league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,saves,shots_faced,goal_assists,shots_on_target,total_goals,total_shots,offsides
ITA-Serie A,2526,2025-08-23 AC Milan-Cremonese,AC Milan,Mike Maignan,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 AC Milan-Cremonese,Cremonese,Emil Audero,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 AS Roma-Bologna,AS Roma,Mile Svilar,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 AS Roma-Bologna,Bologna,Lukasz Skorupski,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 Genoa-Lecce,Genoa,Nicola Leali,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 Genoa-Lecce,Lecce,Wladimiro Falcone,False,Goalkeeper,1,start,end,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 Sassuolo-Napoli,Napoli,Alex Meret,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-23 Sassuolo-Napoli,Sassuolo,Stefano Turati,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Atalanta-Pisa,Atalanta,Marco Carnesecchi,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Atalanta-Pisa,Pisa,Adrian Semper,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Cagliari-Fiorentina,Cagliari,Elia Caprile,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Cagliari-Fiorentina,Fiorentina,David de Gea,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Como-Lazio,Como,Jean Butez,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Como-Lazio,Lazio,Ivan Provedel,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Juventus-Parma,Juventus,Michele Di Gregorio,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-24 Juventus-Parma,Parma,Zion Suzuki,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-25 Internazionale-Torino,Internazionale,Yann Sommer,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-25 Internazionale-Torino,Torino,Franco Israel,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-25 Udinese-Hellas Verona,Hellas Verona,Lorenzo Montipò,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-25 Udinese-Hellas Verona,Udinese,Razvan Sava,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-29 Cremonese-Sassuolo,Cremonese,Emil Audero,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-29 Cremonese-Sassuolo,Sassuolo,Arijanet Muric,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-29 Lecce-AC Milan,AC Milan,Mike Maignan,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-29 Lecce-AC Milan,Lecce,Wladimiro Falcone,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Bologna-Como,Bologna,Lukasz Skorupski,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Bologna-Como,Como,Jean Butez,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Napoli-Cagliari,Cagliari,Elia Caprile,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Napoli-Cagliari,Napoli,Alex Meret,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Parma-Atalanta,Atalanta,Marco Carnesecchi,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Parma-Atalanta,Parma,Zion Suzuki,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Pisa-AS Roma,AS Roma,Mile Svilar,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-30 Pisa-AS Roma,Pisa,Adrian Semper,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-31 Genoa-Juventus,Genoa,Nicola Leali,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-31 Genoa-Juventus,Juventus,Michele Di Gregorio,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-31 Internazionale-Udinese,Internazionale,Yann Sommer,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-31 Internazionale-Udinese,Udinese,Razvan Sava,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-31 Lazio-Hellas Verona,Hellas Verona,Lorenzo Montipò,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
ITA-Serie A,2526,2025-08-31 Lazio-Hellas Verona,Lazio,Ivan Provedel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,
