league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,saves,shots_faced,goal_assists,shots_on_target,total_goals,total_shots,offsides
FRA-Ligue 1,2324,2023-08-11 Nice-Lille,Lille,Lucas Chevalier,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-11 Nice-Lille,Nice,Marcin Bulka,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-12 Marseille-Stade de Reims,Marseille,Pau López,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-12 Marseille-Stade de Reims,Stade de Reims,Yehvann Diouf,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-12 Paris Saint-Germain-Lorient,Lorient,Yvon Mvogo,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-12 Paris Saint-Germain-Lorient,Paris Saint-Germain,Gianluigi Donnarumma,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Brest-Lens,Brest,Marco Bizot,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Brest-Lens,Lens,Brice Samba,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Clermont Foot-AS Monaco,AS Monaco,Philipp Köhn,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Clermont Foot-AS Monaco,Clermont Foot,Mory Diaw,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Montpellier-Le Havre AC,Le Havre AC,Arthur Desmas,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Montpellier-Le Havre AC,Montpellier,Benjamin Lecomte,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Nantes-Toulouse,Nantes,Alban Lafont,True,Goalkeeper,1,start,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Nantes-Toulouse,Toulouse,Guillaume Restes,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Stade Rennais-Metz,Metz,Alexandre Oukidja,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,24.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Stade Rennais-Metz,Stade Rennais,Steve Mandanda,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Strasbourg-Lyon,Lyon,Rémy Riou,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-13 Strasbourg-Lyon,Strasbourg,Matz Sels,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,23.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-18 Metz-Marseille,Marseille,Pau López,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-18 Metz-Marseille,Metz,Alexandre Oukidja,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,18.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-19 Lyon-Montpellier,Lyon,Rémy Riou,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-19 Lyon-Montpellier,Montpellier,Benjamin Lecomte,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-19 Toulouse-Paris Saint-Germain,Paris Saint-Germain,Gianluigi Donnarumma,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-19 Toulouse-Paris Saint-Germain,Toulouse,Guillaume Restes,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 AS Monaco-Strasbourg,AS Monaco,Philipp Köhn,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 AS Monaco-Strasbourg,Strasbourg,Matz Sels,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Le Havre AC-Brest,Brest,Marco Bizot,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Le Havre AC-Brest,Le Havre AC,Arthur Desmas,True,Goalkeeper,1,start,end,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Lens-Stade Rennais,Lens,Brice Samba,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Lens-Stade Rennais,Stade Rennais,Steve Mandanda,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Lille-Nantes,Lille,Lucas Chevalier,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Lille-Nantes,Nantes,Rémy Descamps,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Lorient-Nice,Lorient,Yvon Mvogo,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Lorient-Nice,Nice,Marcin Bulka,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Stade de Reims-Clermont Foot,Clermont Foot,Mory Diaw,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-20 Stade de Reims-Clermont Foot,Stade de Reims,Yehvann Diouf,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-25 Nantes-AS Monaco,AS Monaco,Philipp Köhn,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-25 Nantes-AS Monaco,Nantes,Rémy Descamps,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,23.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-26 Marseille-Brest,Brest,Marco Bizot,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-26 Marseille-Brest,Marseille,Pau López,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-26 Paris Saint-Germain-Lens,Lens,Brice Samba,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-26 Paris Saint-Germain-Lens,Paris Saint-Germain,Gianluigi Donnarumma,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Clermont Foot-Metz,Clermont Foot,Mory Diaw,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Clermont Foot-Metz,Metz,Alexandre Oukidja,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Lorient-Lille,Lille,Lucas Chevalier,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Lorient-Lille,Lorient,Yvon Mvogo,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,17.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Montpellier-Stade de Reims,Montpellier,Benjamin Lecomte,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Montpellier-Stade de Reims,Stade de Reims,Yehvann Diouf,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Nice-Lyon,Lyon,Rémy Riou,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Nice-Lyon,Nice,Marcin Bulka,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Stade Rennais-Le Havre AC,Le Havre AC,Arthur Desmas,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,19.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Stade Rennais-Le Havre AC,Stade Rennais,Steve Mandanda,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Strasbourg-Toulouse,Strasbourg,Matz Sels,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-08-27 Strasbourg-Toulouse,Toulouse,Guillaume Restes,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-01 Nantes-Marseille,Marseille,Pau López,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-01 Nantes-Marseille,Nantes,Rémy Descamps,True,Goalkeeper,1,start,end,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,25.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-02 AS Monaco-Lens,AS Monaco,Philipp Köhn,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-02 AS Monaco-Lens,Lens,Brice Samba,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-02 Brest-Stade Rennais,Brest,Marco Bizot,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-02 Brest-Stade Rennais,Stade Rennais,Steve Mandanda,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Le Havre AC-Lorient,Le Havre AC,Arthur Desmas,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Le Havre AC-Lorient,Lorient,Yvon Mvogo,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Lille-Montpellier,Lille,Lucas Chevalier,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Lille-Montpellier,Montpellier,Benjamin Lecomte,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Lyon-Paris Saint-Germain,Lyon,Anthony Lopes,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Lyon-Paris Saint-Germain,Paris Saint-Germain,Gianluigi Donnarumma,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Metz-Stade de Reims,Metz,Alexandre Oukidja,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Metz-Stade de Reims,Stade de Reims,Yehvann Diouf,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Nice-Strasbourg,Nice,Marcin Bulka,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Nice-Strasbourg,Strasbourg,Matz Sels,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Toulouse-Clermont Foot,Clermont Foot,Mory Diaw,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-03 Toulouse-Clermont Foot,Toulouse,Guillaume Restes,True,Goalkeeper,1,start,end,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-15 Paris Saint-Germain-Nice,Nice,Marcin Bulka,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-15 Paris Saint-Germain-Nice,Paris Saint-Germain,Gianluigi Donnarumma,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,11.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-16 Lens-Metz,Lens,Brice Samba,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-16 Lens-Metz,Metz,Alexandre Oukidja,False,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-16 Stade Rennais-Lille,Lille,Lucas Chevalier,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-16 Stade Rennais-Lille,Stade Rennais,Steve Mandanda,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-17 Clermont Foot-Nantes,Clermont Foot,Mory Diaw,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,
FRA-Ligue 1,2324,2023-09-17 Clermont Foot-Nantes,Nantes,Rémy Descamps,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,
